source,target
<ATTRS> อ้าง ไปเรื่อยสัส <CONT_START> แต่บุหรี่ไม่กลัวแม่ลง <START>,<ATTRS> อ้าง ไปเรื่อยสัส <CONT_START> แต่บุหรี่ไม่กลัวแม่ลง <START> แต่บุหรี่ไม่กลัวแม่ลงอ้างไปเรื่อยสัส
<ATTRS> เสียใจ <CONT_START> บุไฟบาบีก้อนมี2สาขาเองงะน้องจจ <START>,<ATTRS> เสียใจ <CONT_START> บุไฟบาบีก้อนมี2สาขาเองงะน้องจจ <START> บุไฟบาบีก้อนมี2สาขาเองงะน้องเสียใจจจ
<ATTRS> จืดไม่ค่อย <CONT_START> บุฟเฟ่ต์ในบาบีก้อนหย่อยพ.ศ. <START>,<ATTRS> จืดไม่ค่อย <CONT_START> บุฟเฟ่ต์ในบาบีก้อนหย่อยพ.ศ. <START> บุฟเฟ่ต์ในบาบีก้อนจืดไม่ค่อยหย่อยพ.ศ.
<ATTRS> อ้วก <CONT_START> เบียร์ยูมันหวานจนอะแฮงค์มากด้วย <START>,<ATTRS> อ้วก <CONT_START> เบียร์ยูมันหวานจนอะแฮงค์มากด้วย <START> เบียร์ยูมันหวานจนอ้วกอะแฮงค์มากด้วย
<ATTRS> ไม่ไหวเข็ด <CONT_START> เบียร์ยูจริงมายเฟรน5 <START>,<ATTRS> ไม่ไหวเข็ด <CONT_START> เบียร์ยูจริงมายเฟรน5 <START> เบียร์ยูไม่ไหวจริงมายเฟรน5เข็ด
<ATTRS> สัส <CONT_START> แบ๊วเมื่อคืนตายย้อนแดกเบียร์ช้าง <START>,<ATTRS> สัส <CONT_START> แบ๊วเมื่อคืนตายย้อนแดกเบียร์ช้าง <START> แบ๊วสัสเมื่อคืนตายย้อนแดกเบียร์ช้าง
<ATTRS> ปัญญาอ่อน <CONT_START> น.นี่แค่มึงขับมารินะเนี่ย <START>,<ATTRS> ปัญญาอ่อน <CONT_START> น.นี่แค่มึงขับมารินะเนี่ย <START> ปัญญาอ่อนน.นี่แค่มึงขับมารินะเนี่ย
<ATTRS> ไม่ถึง 900 <CONT_START> ไปทาน2คนยากไร้ทำไงดีคะ <START>,<ATTRS> ไม่ถึง 900 <CONT_START> ไปทาน2คนยากไร้ทำไงดีคะ <START> ไปทาน2คนไม่ถึง900ยากไร้ทำไงดีคะ
<ATTRS> ผิดหวังกั๊ก ของ <CONT_START> สามทุ่มก็ไม่ว่าออกและ <START>,<ATTRS> ผิดหวังกั๊ก ของ <CONT_START> สามทุ่มก็ไม่ว่าออกและ <START> ผิดหวังกั๊กของสามทุ่มก็ไม่ว่าออกและ
<ATTRS> เป็น หรือ หนอง <CONT_START> พวกคอมเม้นอื่นบอกว่าวะ <START>,<ATTRS> เป็น หรือ หนอง <CONT_START> พวกคอมเม้นอื่นบอกว่าวะ <START> พวกคอมเม้นอื่นบอกว่าเป็นหรือหนองวะ
<ATTRS> เสีย <CONT_START> พี่ท่านจงเร่งหาชุดไทยใส่ไป😉 <START>,<ATTRS> เสีย <CONT_START> พี่ท่านจงเร่งหาชุดไทยใส่ไป😉 <START> พี่ท่านจงเร่งหาชุดไทยใส่ไปเสีย😉
<ATTRS> แพงกว่า <CONT_START> moschinoburberryไม่ว่าแล้ว <START>,<ATTRS> แพงกว่า <CONT_START> moschinoburberryไม่ว่าแล้ว <START> แพงกว่าmoschinoburberryไม่ว่าแล้ว
<ATTRS> แพ้ <CONT_START> ผ้าอนามัยเหมือนกับเลยต้องฉีดยาคุ <START>,<ATTRS> แพ้ <CONT_START> ผ้าอนามัยเหมือนกับเลยต้องฉีดยาคุ <START> แพ้ผ้าอนามัยเหมือนกับเลยต้องฉีดยาคุ
<ATTRS> ฝี <CONT_START> มันคือหนองงง😨ในเจริญอาหารมั้ยล่ะ <START>,<ATTRS> ฝี <CONT_START> มันคือหนองงง😨ในเจริญอาหารมั้ยล่ะ <START> มันคือฝีหนองงง😨ในเจริญอาหารมั้ยล่ะ
<ATTRS>  <CONT_START> เชื่อวันกินบาบีก้อนน.รู้สึกตัวบวม <START>,<ATTRS>  <CONT_START> เชื่อวันกินบาบีก้อนน.รู้สึกตัวบวม <START> เชื่อวันกินบาบีก้อนน.รู้สึกตัวบวม
<ATTRS> เสียใจ <CONT_START> แมงกะพรุนเปลี่ยนหนักมากในใน <START>,<ATTRS> เสียใจ <CONT_START> แมงกะพรุนเปลี่ยนหนักมากในใน <START> แมงกะพรุนเปลี่ยนเสียใจหนักมากในใน
<ATTRS> ไม่สวย <CONT_START> ไม่ใครแจกลอรีเอะอ่อโซฟีลายอ่ะ <START>,<ATTRS> ไม่สวย <CONT_START> ไม่ใครแจกลอรีเอะอ่อโซฟีลายอ่ะ <START> ไม่ใครแจกลอรีเอะอ่อโซฟีลายไม่สวยอ่ะ
<ATTRS> ไม่ชอบไม่เคย พบว่า มัน อร่อย <CONT_START> ชัสค่ะค่ะ <START>,<ATTRS> ไม่ชอบไม่เคย พบว่า มัน อร่อย <CONT_START> ชัสค่ะค่ะ <START> ไม่ชอบชัสค่ะไม่เคยพบว่ามันอร่อยค่ะ
<ATTRS>  <CONT_START> ไม่ดื่มอะไรๆๆของสิงห์มาตั้งแต่นู้น <START>,<ATTRS>  <CONT_START> ไม่ดื่มอะไรๆๆของสิงห์มาตั้งแต่นู้น <START> ไม่ดื่มอะไรๆๆของสิงห์มาตั้งแต่นู้น
<ATTRS>  <CONT_START> มิได้รู้สึกอยากกินมือขึ้นแต่อย่างใด <START>,<ATTRS>  <CONT_START> มิได้รู้สึกอยากกินมือขึ้นแต่อย่างใด <START> มิได้รู้สึกอยากกินมือขึ้นแต่อย่างใด
<ATTRS> ▁ไม่ อะไร พัฒนาเสียหาย <CONT_START> เลยของเดิมhonda <START>,<ATTRS> ▁ไม่ อะไร พัฒนาเสียหาย <CONT_START> เลยของเดิมhonda <START> ไม่อะไรพัฒนาเลยของเดิมเสียหายhonda
<ATTRS> ราชบุรี ไม่มี <CONT_START> ชื่อในสาขาร่วมโปรนี้พ.ศ. <START>,<ATTRS> ราชบุรี ไม่มี <CONT_START> ชื่อในสาขาร่วมโปรนี้พ.ศ. <START> ราชบุรีไม่มีชื่อในสาขาร่วมโปรนี้พ.ศ.
<ATTRS> ไม่สะดวก <CONT_START> โรงแรมค่อนข้างลึกถ้าไม่รถ <START>,<ATTRS> ไม่สะดวก <CONT_START> โรงแรมค่อนข้างลึกถ้าไม่รถ <START> โรงแรมค่อนข้างลึกไม่สะดวกถ้าไม่รถ
<ATTRS> ฉิบหาย <CONT_START> สีเมอาร์เอฟมิดไนท์เล่นกูแล้วไอ้ <START>,<ATTRS> ฉิบหาย <CONT_START> สีเมอาร์เอฟมิดไนท์เล่นกูแล้วไอ้ <START> สีเมอาร์เอฟมิดไนท์เล่นกูแล้วไอ้ฉิบหาย
<ATTRS> สาขา กําแพงเพชร ปิดเสียใจ <CONT_START> สาขากำแพงเพชรปิดไปแล้ว😢 <START>,<ATTRS> สาขา กําแพงเพชร ปิดเสียใจ <CONT_START> สาขากำแพงเพชรปิดไปแล้ว😢 <START> สาขากำแพงเพชรปิดไปแล้วเสียใจ😢
<ATTRS> บาง ๆๆ ติด กระทะ <CONT_START> สุขใดเล่าจะเท่าน.เนื้อ😂 <START>,<ATTRS> บาง ๆๆ ติด กระทะ <CONT_START> สุขใดเล่าจะเท่าน.เนื้อ😂 <START> สุขใดเล่าจะเท่าน.เนื้อบางๆๆติดกระทะ😂
